State Name,District Name,Subdistrict Name,Facility Type,Facility Name,Facility Address,Latitude,Longitude,ActiveFlag_C,Location Type,Type Of Facility
West Bengal,Murshidabad,Raninagar I,sub_cen,Sukdebmati SC,NA,24.19207,88.526085,Y,Rural,Public
West Bengal,Murshidabad,Nabagram,sub_cen,Nabagram SC,NA,24.19213889,88.09508333,Y,Rural,Public
West Bengal,Murshidabad,Jalangi,sub_cen,Domadi SC,NA,24.193517,88.6446,Y,Rural,Public
West Bengal,Murshidabad,Domkol,sub_cen,Baisnabpara GP HQ SC,NA,24.1935777,88.6142654,Y,Rural,Public
West Bengal,Murshidabad,Nabagram,sub_cen,Itore SC,NA,24.19522222,88.17944444,Y,Rural,Public
West Bengal,Murshidabad,Jalangi,sub_cen,Sita Nagar SC,NA,24.1958,88.666333,Y,Rural,Public
West Bengal,Murshidabad,Raninagar I,sub_cen,Doulatpur SC,NA,24.197217,88.4497,Y,Rural,Public
West Bengal,Birbhum,Rampurhat I,sub_cen,Akhira SC,NA,24.197733,87.7777,Y,Rural,Public
West Bengal,Murshidabad,Nabagram,sub_cen,Panchgram SC,NA,24.19808333,88.00752778,Y,Rural,Public
West Bengal,Birbhum,Rampurhat II,sub_cen,Gopalpur Sc,NA,24.198167,87.954183,Y,Rural,Public
West Bengal,Murshidabad,Nabagram,sub_cen,Kanfala SC,NA,24.19827778,88.11491667,Y,Rural,Public
West Bengal,Murshidabad,Domkol,sub_cen,Juranpur SC,NA,24.1983644,88.5024238,Y,Rural,Public
West Bengal,Birbhum,Rampurhat I,sub_cen,Tumbuni SC,NA,24.198867,87.69225,Y,Rural,Public
West Bengal,Birbhum,Rampurhat I,sub_cen,Chakmondala SC,NA,24.199033,87.723617,Y,Rural,Public
West Bengal,Murshidabad,Domkol,sub_cen,Paikmari SC,NA,24.2006931,88.5900497,Y,Rural,Public
West Bengal,Murshidabad,Nabagram,sub_cen,Kiriteswari SC,NA,24.20127778,88.22172222,Y,Rural,Public
West Bengal,Birbhum,Rampurhat I,sub_cen,Kusumba SC,NA,24.202467,87.759217,Y,Rural,Public
West Bengal,Murshidabad,Raninagar I,sub_cen,Paharpur Hq GP Hq SC,NA,24.20275,88.418533,Y,Rural,Public
West Bengal,Murshidabad,Raninagar II,sub_cen,Godhanpara SC,NA,24.203017,88.55005,Y,Rural,Public
West Bengal,Murshidabad,Jalangi,sub_cen,Ramnarayanpara SC,NA,24.204617,88.705,Y,Rural,Public
West Bengal,Murshidabad,Raninagar I,sub_cen,Herampur SC,NA,24.204967,88.50575,Y,Rural,Public
West Bengal,Murshidabad,Jalangi,sub_cen,Narashinghapur GP Hq. SC,NA,24.20615,88.699217,Y,Rural,Public
West Bengal,Birbhum,Rampurhat II,sub_cen,Dunigram PHC Sc,NA,24.207483,87.916183,Y,Rural,Public
West Bengal,Birbhum,Nalhati II,sub_cen,Berasimul SC,NA,24.21012,87.963991,Y,Rural,Public
West Bengal,Birbhum,Rampurhat II,sub_cen,Srikrishnapur Sc,NA,24.210183,87.901017,Y,Rural,Public
West Bengal,Murshidabad,Murshidabad Jiaganj,sub_cen,Boardarpara SC,NA,24.211317,88.36525,Y,Rural,Public
West Bengal,Birbhum,Rampurhat II,sub_cen,Dunigram GP HQ SC,NA,24.212254,87.914347,Y,Rural,Public
West Bengal,Murshidabad,Raninagar I,sub_cen,Chatra SC,NA,24.212691,88.396033,Y,Rural,Public
West Bengal,Birbhum,Rampurhat I,sub_cen,Khadamara SC,NA,24.213283,87.648,Y,Rural,Public
West Bengal,Murshidabad,Jalangi,sub_cen,Boramosia SC,NA,24.214183,88.679867,Y,Rural,Public
West Bengal,Birbhum,Nalhati II,sub_cen,Chetankandi SC,NA,24.215176,87.980389,Y,Rural,Public
West Bengal,Murshidabad,Nabagram,sub_cen,Mobarakpur SC,NA,24.21613889,88.00841667,Y,Rural,Public
West Bengal,Birbhum,Rampurhat II,sub_cen,Joghar Sc,NA,24.216517,87.876967,Y,Rural,Public
West Bengal,Murshidabad,Raninagar II,sub_cen,Deputy Para SC,NA,24.216933,88.568433,Y,Rural,Public
West Bengal,Murshidabad,Nabagram,sub_cen,Chanak SC,NA,24.21715,88.112633,Y,Rural,Public
West Bengal,Birbhum,Rampurhat I,sub_cen,Barshal SC,NA,24.21715,87.778867,Y,Rural,Public
